date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
2/3/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maryland,Baltimore,1,0,1352,0,0,2,0,0
2/3/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,St. Andrew Parish,Kingston,1,0,15,0,0,1,0,0
2/3/2019,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,Maine,Brunswick,1,0,0,0,0,1,1,0
2/3/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Massachusetts,Boston,1,0,36,0,0,1,0,0
2/3/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Rajasthan,Jaipur,1,0,30,0,0,1,0,0
2/4/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,District of Columbia,Washington,1,0,47,0,0,1,0,0
2/4/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Kigali City,Kigali,1,0,226,0,0,1,0,0
2/4/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Bangor,1,0,5,0,0,1,0,0
2/5/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,Master's Degree Program,FY2019_Graduate,West Bengal,Kolkata,1,0,24,0,0,1,0,0
2/5/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Connecticut,Woodstock,1,0,37,0,0,1,0,0
2/5/2019,/everyone-high-school-students/thank-you,google,cpc,Bachelor Degree Programs,FY2019_Undergrad,Illinois,Chicago,1,0,12,0,0,1,0,0
2/5/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Buxton,1,0,18,0,0,1,0,0
2/5/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New Hampshire,Conway,1,0,42,0,0,1,0,0
2/5/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New York,Hampton Bays,1,0,25,0,0,1,0,0
2/5/2019,/everyone-online-degree-seekers/thank-you,(direct),(none),(not set),(not set),New York,Getzville,1,0,21,0,0,1,0,0
2/5/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Florida,Sorrento,1,0,0,0,0,1,1,0
2/5/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Illinois,Chicago,1,0,0,0,0,1,1,0
2/6/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Harare Province,Harare,1,0,22,0,0,1,0,0
2/6/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Rockport,1,0,12,0,0,1,0,0
2/6/2019,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,Illinois,Chicago,1,0,65,0,0,1,0,0
2/6/2019,/everyone-transfer-students/thank-you,google,cpc,Earn Your Degree in Maine,FY2019_Transfer,Maine,Farmington,1,0,14,0,0,1,0,0
2/6/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Illinois,Chicago,2,2,0,2,0,2,2,0
2/7/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Pennsylvania,Glenside,1,0,11,0,0,2,0,0
2/7/2019,/everyone-graduate-degree-seekers/thank-you,LinkedIn,InMail,fa19_ig_li_text_wa_gr_s_1,FY2019_Graduate,Maine,Sanford,1,0,0,0,0,1,1,0
2/7/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Central Development Region,(not set),1,0,11,0,0,1,0,0
2/7/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Biddeford,1,1,0,1,0,1,1,0
2/7/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Scarborough,1,0,0,0,0,1,1,0
2/7/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New Hampshire,Dover,1,0,19,0,0,1,0,0
2/7/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,New Hampshire,Manchester,1,0,0,0,0,1,1,0
2/8/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Maine,Waterville,1,0,19,0,0,1,0,0
2/9/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,Univ. of Southern Maine,FY2019_Graduate,Ohio,Granville,1,0,0,0,0,1,1,0
2/9/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),(not set),1,0,14,0,0,1,0,0
2/9/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Hope,1,0,0,0,0,1,1,0
2/9/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Massachusetts,Billerica,1,0,27,0,0,3,1,0
2/9/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Nairobi County,Nairobi,1,0,10,0,0,1,0,0
2/9/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2019_Transfer,Maine,Portland,1,0,16,0,0,1,0,0
