Ad Content,Source / Medium,Date,Unique Pageviews,Sessions,Exits,Entrances,Bounces,Time on Page,Session Duration
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190320,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190413,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190317,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190320,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190323,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190330,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190331,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190408,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190418,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190420,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190313,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190325,2,1,1,1,0,0:01:11,0:01:11
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190403,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190422,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_5,Facebook / PageLink,20190402,2,1,1,1,0,0:00:57,0:00:57
FA20_BR_IG_DISP_TL_UG_S_5,Facebook / PageLink,20190404,2,1,1,1,0,0:00:14,0:00:14
FA20_BR_IG_DISP_TL_UG_S_5,Facebook / PageLink,20190416,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_5,Facebook / PageLink,20190423,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_1,Instagram / Video,20190426,2,1,1,1,0,0:00:07,0:00:07
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190316,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190329,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190330,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190405,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190408,2,2,2,2,2,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190409,2,2,2,2,2,0:00:00,0:00:00
FY19 National College Fair - April 3 Email CID_7d6dfc2cbea0cc368aaf2a3140a7c8f8,cmadm / email,20190404,2,1,1,1,0,0:01:20,0:01:20
(not set),(direct) / (none),20190311,1,1,1,1,1,0:00:00,0:00:00
(not set),(direct) / (none),20190331,1,1,1,1,1,0:00:00,0:00:00
(not set),(direct) / (none),20190404,1,1,1,1,1,0:00:00,0:00:00
(not set),(direct) / (none),20190410,1,1,1,1,1,0:00:00,0:00:00
(not set),(direct) / (none),20190411,1,1,1,1,1,0:00:00,0:00:00
(not set),(direct) / (none),20190426,1,1,1,1,0,0:00:15,0:00:15
(not set),bing / organic,20190412,1,1,1,1,1,0:00:00,0:00:00
(not set),google / organic,20190307,1,1,1,1,1,0:00:00,0:00:00
(not set),google / organic,20190308,1,1,1,1,1,0:00:00,0:00:00
(not set),google / organic,20190317,1,1,1,1,1,0:00:00,0:00:00
(not set),google / organic,20190319,1,1,1,1,1,0:00:00,0:00:00
(not set),google / organic,20190324,1,1,1,1,1,0:00:00,0:00:00
(not set),google / organic,20190327,1,1,1,1,0,0:24:30,0:24:30
(not set),google / organic,20190328,1,1,1,1,1,0:00:00,0:00:00
(not set),google / organic,20190402,1,1,1,1,1,0:00:00,0:00:00
(not set),google / organic,20190415,1,1,1,1,1,0:00:00,0:00:00
(not set),mail.google.com / referral,20190307,1,1,1,1,1,0:00:00,0:00:00
(not set),mail.google.com / referral,20190315,1,1,1,1,1,0:00:00,0:00:00
(not set),mail.google.com / referral,20190318,1,1,1,1,1,0:00:00,0:00:00
(not set),mail.google.com / referral,20190419,1,1,1,1,1,0:00:00,0:00:00
(not set),mail.google.com / referral,20190427,1,1,1,1,1,0:00:00,0:00:00
(not set),yahoo / organic,20190407,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_BDN_ALL_UNI_D_1,BDN / Video,20190318,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190308,1,1,1,1,0,0:03:31,0:03:31
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190312,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190315,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190316,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190323,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190330,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190407,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190408,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190409,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190412,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190414,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190415,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190417,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190418,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190421,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190424,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_1,DBM / Display,20190426,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_2,DBM / Display,20190308,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_2,DBM / Display,20190314,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_2,DBM / Display,20190319,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_2,DBM / Display,20190321,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_2,DBM / Display,20190325,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_2,DBM / Display,20190412,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_2,DBM / Display,20190415,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_2,DBM / Display,20190419,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_2,DBM / Display,20190420,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_2,DBM / Display,20190422,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_2,DBM / Display,20190425,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190314,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190325,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190328,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190331,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190402,1,1,1,1,0,0:00:02,0:00:02
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190405,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190410,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190412,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190413,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190415,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190420,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190421,1,1,1,1,0,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_3,DBM / Display,20190427,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_4,DBM / Display,20190311,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_4,DBM / Display,20190312,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_4,DBM / Display,20190319,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_4,DBM / Display,20190403,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_4,DBM / Display,20190406,1,1,1,1,0,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_5,DBM / Display,20190308,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_5,DBM / Display,20190313,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_5,DBM / Display,20190314,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_5,DBM / Display,20190324,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_5,DBM / Display,20190402,1,1,1,1,0,0:00:13,0:00:13
FA20_BR_DBM_DISP_TL_UG_S_5,DBM / Display,20190408,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190312,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190315,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190321,1,1,1,1,0,0:00:09,0:00:09
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190327,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190329,1,1,1,1,1,0:00:00,0:00:00
