date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
09/05/2018,/everyone-high-school-students/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_TL_UG_S_3,FY2019_Undergrad,Connecticut,Simsbury,1,0,0,0,0,1,1,0
09/05/2018,/everyone-high-school-students/thank-you,google,cpc,Bachelor Degree Programs,FY2019_Undergrad,Massachusetts,Boston,1,0,22,0,0,3,0,0
09/05/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),Addis Ababa,1,0,0,0,0,1,1,0
09/05/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Wells,1,0,14,0,0,1,0,0
09/05/2018,/everyone-high-school-students/thank-you,Google,Gmail,fa19_ig_gm_text_wa_dc_s_3,FY2019_DegreeCompleters,Maine,Lewiston,1,1,0,1,0,1,1,0
09/06/2018,/everyone-high-school-students/thank-you,Doubleclick Bid Manager,Display,fa19_ig_dbm_disp_tl_ug_s_6,FY2019_Undergrad,New York,Getzville,1,0,18,0,0,2,1,0
09/06/2018,/everyone-high-school-students/thank-you **,Doubleclick Bid Manager,Display,fa19_ig_dbm_disp_tl_ug_s_6,FY2019_Undergrad,New York,Getzville,1,0,94,1,0,1,0,155
09/07/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Kigali City,Kigali,1,0,17,0,0,1,0,0
09/08/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Massachusetts,Marblehead,1,0,25,0,0,1,0,0
09/08/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Lagos,Lagos,1,0,32,0,0,1,0,0
09/10/2018,/everyone-high-school-students/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_HS_UG_S_1,FY2019_Undergrad,Maine,Bangor,1,0,0,0,0,1,1,0
09/10/2018,/everyone-transfer-students/thank-you,google,cpc,Earn Your Maine College Degree,FY2019_Transfer,New Hampshire,Piermont,1,0,19,0,0,1,0,0
09/12/2018,/everyone-high-school-students/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_HS_UG_S_1,FY2019_Undergrad,Maine,Camden,1,1,0,1,0,1,1,0
09/14/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Tamil Nadu,Chennai,1,0,0,0,0,1,1,0
09/14/2018,/everyone-online-degree-seekers/thank-you,google,cpc,Online Degree Program,FY2019_Online,Maine,South Bristol,1,0,21,0,0,1,0,0
09/15/2018,/everyone-degree-completion/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_WA_DC_S_1,FY2019_DegreeComp,Maine,Auburn,1,0,56,0,0,2,0,0
09/16/2018,/everyone-graduate-degree-seekers/thank-you,Facebook,Page Link,fa19_ig_fb_disp_cu_gr_s_1,FY2019_Graduate,(not set),Jamijarvi,1,0,0,0,0,1,1,0
