date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration,Code_Audience
08/28/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,New York,Fort Edward,1,0,0,0,0,1,1,0,CU - Thank You
08/29/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Graduate,New Jersey,(not set),1,0,8,0,0,1,0,0,GR - Thank You
08/29/2017,/welcome-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Online,Maine,Portland,1,0,13,0,0,1,0,0,OL - Thank You
08/29/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Kigali City,Kigali,1,0,64,0,0,2,0,0,CU - Thank You
08/30/2017,/welcome-high-school-students/thank-you,google,cpc,{KeyWord:Earn Your Bachelor's Degree},FY2018_Undergrad,Gauteng,Germiston,1,0,0,0,0,1,1,0,HS - Thank You
08/30/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Massachusetts,Boston,1,0,0,0,0,1,1,0,CU - Thank You
08/31/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,(not set),Addis Ababa,1,0,0,0,0,1,1,0,HS - Thank You
08/31/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Massachusetts,Boston,1,1,0,1,0,1,1,0,CU - Thank You
09/01/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Maine,Lewiston,1,0,0,0,0,1,1,0,HS - Thank You
09/02/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Massachusetts,Boston,1,0,19,0,0,1,0,0,CU - Thank You
09/02/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2018_Transfer,Maine,Kittery,1,0,0,0,0,1,1,0,CU - Thank You
09/03/2017,/welcome-high-school-students/thank-you,google,cpc,{KeyWord:Earn Your Bachelor's Degree},FY2018_Undergrad,Massachusetts,North Reading,1,0,398,0,0,1,0,0,HS - Thank You
09/03/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Maine,Monmouth,1,0,10,0,0,1,0,0,HS - Thank You
09/04/2017,/welcome-high-school-students/thank-you,Facebook,PageLink,Undergrad_ME_HS,FY2018_Undergrad,North Carolina,Greenville,1,0,49,0,0,1,0,0,HS - Thank You
09/05/2017,/begin/thank-you,TargetX,Email,SearchEmail3,FY17_Search_4J,Maine,Monmouth,1,0,17,0,0,1,0,0,NA
09/05/2017,/begin/thank-you,TargetX,Email,SearchEmail7,FY17_Search_4J,Massachusetts,Woburn,1,0,0,0,0,1,1,0,NA
09/05/2017,/begin/thank-you,TargetX,Email,SearchEmail7,FY17_Search_4J,New Hampshire,Dover,1,0,0,0,0,1,1,0,NA
09/05/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Maine,Portland,1,0,19,0,0,1,0,0,HS - Thank You
09/06/2017,/begin/thank-you,TargetX,Email,SearchEmail7,FY17_Search_4J,Maine,Dover-Foxcroft,1,0,0,0,0,1,1,0,NA
09/06/2017,/welcome-high-school-students/thank-you,google,cpc,WA_Option1,FY2018_Gmail,(not set),(not set),1,0,0,0,0,1,1,0,HS - Thank You
09/06/2017,/welcome-transfer-students/thank-you,google,cpc,WA_Option1,FY2018_Gmail,Maine,Buxton,1,0,0,0,0,1,1,0,CU - Thank You
09/07/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,North Western Province,(not set),2,1,0,1,0,2,2,0,HS - Thank You
09/07/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Pennsylvania,Bensalem,1,0,5,0,0,1,0,0,CU - Thank You
09/07/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,West Sumatra,Padang,1,0,18,0,0,1,0,0,CU - Thank You
09/08/2017,/honors/thank-you-dara-jeanne-kaufman-fund,google,organic,(not set),(not set),Massachusetts,Boston,1,1,0,1,1,1,1,0,NA
09/08/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Maine,Kittery,1,0,0,0,0,1,1,0,HS - Thank You
09/08/2017,/welcome-high-school-students/thank-you,Spotify,Display,640x640,FY2018_Umbrella,Maine,Norway,1,0,259,0,0,2,0,0,HS - Thank You
09/09/2017,/welcome-high-school-students/thank-you,google,cpc,{KeyWord:Earn Your Bachelor's Degree},FY2018_Undergrad,Maine,Westbrook,1,0,49,0,0,2,0,0,HS - Thank You
