Date,landingPagePath,source,medium,Ad,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
3/19/2019,/visit,FB/IG,CAROUSEL,FA20_ER_FB_CAR_HS_UG_I_2,FY2020_UnderGrad,Maine,Portland,1,1,0,1,1,1,1,0
3/19/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_1,FY2020_Undergrad,Maine,Standish,1,1,0,1,0,1,1,0
3/19/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Augusta,1,1,0,1,0,1,1,0
3/19/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Gorham,2,0,1768,1,0,2,1,1768
3/19/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Topsham,1,0,48,1,0,2,1,48
3/19/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Jericho,5,0,574,2,0,8,2,574
3/19/2019,/visit,FB/IG,LINKAD,FA20_ER_IG_DISP_HS_UG_S_3,FY2020_Undergrad,Massachusetts,Boston,1,1,0,1,1,1,1,0
3/19/2019,/visit?fbclid=IwAR1qz0rk-4mXEBCFflwEPL2Y78aPgITPWMuctchyfx5baeVdT7bgjftnVKM,FB/IG,LINKAD,FA20_ER_FB_VID_HS_UG_D_2,FY2020_Undergrad,California,Sacramento,1,1,0,1,1,1,1,0
3/19/2019,/visit?fbclid=IwAR1ZkGpD5hsO-Sui6Qjm3_F0Ur44la_U_pWQ6YcmVMHHBHLDtNtVGXuz4zM,FB/IG,CAROUSEL,FA20_ER_IG_CAR_HS_UG_I_2,FY2020_UnderGrad,West Bengal,Kolkata,1,1,0,1,1,1,1,0
3/19/2019,/visit?fbclid=IwAR2I4MVQlNQvkEG9gfs4qU6fThOZ0CkCLuQQtdptGmBbKwlFV05eWs5373U,FB/IG,REFERRAL,(NOT SET),(not set),California,(not set),1,1,0,1,1,1,1,0
3/19/2019,/visit?fbclid=IwAR2PZr6JFGT19a39CSsUEm6mC0ZoO4o2MdLtRn_Gaanb44tFsMkU7PJzq0Q,FB/IG,CAROUSEL,FA20_ER_IG_CAR_HS_UG_I_2,FY2020_UnderGrad,(not set),(not set),1,1,0,1,1,1,1,0
3/19/2019,/visit?fbclid=IwAR3_2qvokKj3OKyUALDV6tVNjrn6XeXa7HJG7fn2GW6ZrqdwQKeZG7F-O80,FB/IG,CAROUSEL,FA20_ER_IG_CAR_HS_UG_I_2,FY2020_UnderGrad,California,(not set),1,1,0,1,1,1,1,0
3/19/2019,/visit?fbclid=IwAR3iYtDYaGfY3yu28c7bz9wT7pnAlQZiOA2so9AJB_WniPiTt0WH9kPG45A,FB/IG,LINKAD,FA20_ER_IG_DISP_HS_UG_S_1,FY2020_Undergrad,California,(not set),1,1,0,1,1,1,1,0
3/20/2019,/visit,DIRECT,(NONE),(NOT SET),(not set),Maine,Lewiston,2,2,0,2,2,2,2,0
3/20/2019,/visit,DIRECT,(NONE),(NOT SET),(not set),Maine,Sanford,2,2,0,2,2,2,2,0
3/20/2019,/visit,DIRECT,(NONE),(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,1,1,1,0
3/20/2019,/visit,DIRECT,(NONE),(NOT SET),(not set),New York,Buffalo,1,1,0,1,1,1,1,0
3/20/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_2,FY2020_Undergrad,North Carolina,Greenville,1,1,0,1,1,1,1,0
3/20/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_2_RT,FY2020_Undergrad,New Jersey,North Bergen,1,1,0,1,1,1,1,0
3/20/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,New Britain,1,0,838,1,0,3,1,838
3/20/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Plainfield,1,1,0,1,0,1,1,0
3/20/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Houlton,1,1,0,1,0,1,1,0
3/20/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,South Portland,2,2,0,2,0,2,2,0
3/20/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Westbrook,1,1,0,1,1,1,1,0
3/20/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Pennsylvania,Philadelphia,6,0,381,1,0,10,1,380
3/20/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Tennessee,Nashville,1,0,39,1,1,2,1,39
3/20/2019,/visit,FB/IG,LINKAD,FA20_ER_IG_DISP_HS_UG_S_1,FY2020_Undergrad,Maine,Freeport,1,1,0,1,1,1,1,0
3/20/2019,/visit,FB/IG,LINKAD,FA20_ER_IG_DISP_HS_UG_S_1,FY2020_Undergrad,Maine,Sanford,1,0,71,1,1,2,1,71
3/20/2019,/visit,FB/IG,LINKAD,FA20_ER_IG_VID_HS_UG_D_4,FY2020_Undergrad,Maine,Bangor,1,1,0,1,1,1,1,0
3/20/2019,/visit,YAHOO,ORGANIC,(NOT SET),(not set),Connecticut,Norwich,8,0,808,1,0,16,1,808
3/20/2019,/visit?fbclid=IwAR1b71TuwShLwFvTaZId88GWdg4BK8dArVn1cXkjVcp3r88bG3PBYxbfOJ4,FB/IG,CAROUSEL,FA20_ER_IG_CAR_HS_UG_I_1,FY2020_UnderGrad,California,Sacramento,1,1,0,1,1,1,1,0
3/20/2019,/visit?fbclid=IwAR1V85HGdXOVTRZApCIrHrFEc_pCVQvLKgMHidaCaF-8_JOLnXrbiUlgCQE,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_3,FY2020_Undergrad,Maine,Saco,1,1,0,1,1,1,1,0
3/20/2019,/visit?fbclid=IwAR373gdoIidAiqXnyrBv6vNl3lfL4flAbyhZKGlZdJn95fCl08RbwzlQhKc,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_2_RT,FY2020_Undergrad,Maine,Blue Hill,1,1,0,1,1,1,1,0
3/21/2019,/visit,DIRECT,(NONE),(NOT SET),(not set),New Hampshire,Plaistow,3,0,65,1,0,4,1,66
3/21/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_2_RT,FY2020_Undergrad,Maine,Scarborough,1,1,0,1,1,1,1,0
3/21/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_3,FY2020_Undergrad,Maine,Dexter,1,1,0,1,1,1,1,0
3/21/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_3,FY2020_Undergrad,Maine,Portland,2,2,0,2,2,2,2,0
3/21/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Auburn,1,0,565,1,0,5,1,566
3/21/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Portsmouth,1,1,0,1,0,1,1,0
3/21/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Stowe,1,0,257,1,0,2,1,257
3/21/2019,/visit,FB/IG,CAROUSEL,FA20_ER_IG_CAR_HS_UG_I_1,FY2020_UnderGrad,Central Visayas,Cebu City,1,1,0,1,1,1,1,0
3/21/2019,/visit,FB/IG,IGSTORIES,FA20_ER_IG_VID_HS_UG_D_1,FY2020_Undergrad,East Java,Ngawi,1,1,0,1,1,1,1,0
3/21/2019,/visit,FB/IG,LINKAD,FA20_ER_IG_DISP_HS_UG_S_3,FY2020_Undergrad,Maine,Wiscasset,1,1,0,1,1,1,1,0
3/21/2019,/visit?fbclid=IwAR0ErgfTpxJ9q92g2MZh_gvTq3WahsS4axvpsjYxZajxHDxeI7Hq5cEXxBk,FB/IG,REFERRAL,(NOT SET),(not set),(not set),(not set),1,1,0,1,1,1,1,0
3/21/2019,/visit?fbclid=IwAR0p9lIqoZeNRHOzK__gJ86DDMb7cxRKy471kZoMaO6VSTTA-iyakmsV2C4,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_2,FY2020_Undergrad,California,(not set),1,1,0,1,1,1,1,0
3/21/2019,/visit?fbclid=IwAR1q40UWxaVIREykrrIN1_GuzjJfxnKilfWGJ4jO3t8d9QxA4Y8eUU1cL8w,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_3_RT,FY2020_Undergrad,Maine,Norridgewock,1,1,0,1,1,1,1,0
3/21/2019,/visit?fbclid=IwAR34lWPBuXDTpUU2mTjXKn3fiK-WSWkT0mVze8lMAXlO1jRot8mAHC71qvA,FB/IG,REFERRAL,(NOT SET),(not set),(not set),(not set),1,1,0,1,1,1,1,0
3/21/2019,/visit?fbclid=IwAR38SaEtUfTBmGSu3L76QTs0xMBLApsSehHThEGkjuitOXG_ch-L-uhRZAI,FB/IG,LINKAD,FA20_ER_IG_DISP_HS_UG_S_3,FY2020_Undergrad,West Bengal,Kolkata,1,1,0,1,1,1,1,0
3/22/2019,/about/visit-usm,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Lewiston,2,0,496,1,0,3,1,496
3/22/2019,/gallery/visiting-artist-talk-anne-harris,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Freeport,1,1,0,1,1,1,1,0
3/22/2019,/visit,DIRECT,(NONE),(NOT SET),(not set),Maine,Gorham,1,0,6,1,0,2,1,6
3/22/2019,/visit,DIRECT,(NONE),(NOT SET),(not set),Maine,Scarborough,2,1,223,2,2,3,2,223
3/22/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_2,FY2020_Undergrad,Maine,Monroe,1,1,0,1,1,1,1,0
3/22/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_3_RT,FY2020_Undergrad,Maine,Bethel,1,1,0,1,0,1,1,0
