Date,landingPagePath,source,medium,Ad,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
10/06/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,North Haven,2,0,97,1,0,3,1,97
10/06/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,South Portland,4,0,2353,1,0,4,1,2353
10/06/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,1,1,1,0
10/07/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Massachusetts,Danvers,1,1,0,1,1,1,1,0
10/07/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,7,2,197,3,3,14,3,196
10/08/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Connecticut,Middletown,1,1,0,1,1,1,1,0
10/12/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Danbury,1,1,0,1,0,1,1,0
10/14/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,2,0,37,1,1,2,1,37
10/15/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),New York,New York,1,1,0,1,1,1,1,0
10/15/2017,/office-of-admissions/new-england-regional-tuition-program,YAHOO,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,1,1,1,0
10/16/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Maine,Gorham,1,0,128,1,1,3,1,128
10/16/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Hebron,1,1,0,1,1,1,1,0
10/20/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,Barrington,5,0,166,1,1,5,1,167
10/21/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),New York,New York,1,1,0,1,1,1,1,0
10/21/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Hudson,2,0,58,1,0,2,1,58
10/22/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Gorham,3,0,215,1,0,6,1,215
10/22/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Hudson,3,0,442,1,0,4,1,442
10/22/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,Woonsocket,1,1,0,1,1,1,1,0
10/23/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Harvard,3,0,122,1,0,3,1,122
10/24/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Medway,1,1,0,1,0,1,1,0
10/25/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Gorham,1,1,0,1,0,1,1,0
10/27/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Saint Albans City,1,1,0,1,0,1,1,0
10/30/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Watertown,4,0,391,1,1,5,1,390
11/03/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),New York,New York,1,1,0,1,1,1,1,0
11/05/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Stowe,1,1,0,1,0,1,1,0
11/06/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Westfield,2,0,4,1,1,2,1,4
11/06/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New York,Syracuse,1,0,15,1,1,2,1,15
11/07/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Mount Desert,1,1,0,1,1,1,1,0
11/07/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Acton,1,1,0,1,1,1,1,0
11/07/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Danvers,1,1,0,1,1,1,1,0
11/10/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,North Kingstown,1,1,0,1,1,1,1,0
11/15/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Lowell,1,1,0,1,1,1,1,0
11/17/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,1,1,1,0
11/21/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Stamford,2,0,129,1,1,3,1,129
11/21/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Rutland,1,1,0,1,0,1,1,0
12/09/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Connecticut,Old Saybrook,1,1,0,1,1,1,1,0
12/09/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Tel Aviv District,Tel Aviv-Yafo,1,1,0,1,1,1,1,0
12/11/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Easton,15,0,818,1,1,23,1,818
12/14/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Hingham,2,0,64,1,1,3,1,64
12/18/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Glastonbury,15,0,1183,1,0,18,1,1183
12/21/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Kingston,3,0,90,1,0,4,1,90
12/23/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Warren,1,1,0,1,1,1,1,0
12/26/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,1,1,1,0
12/26/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Brockton,3,0,64,1,1,3,1,64
12/28/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Hartford,1,1,0,1,0,1,1,0
01/01/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Gloucester,2,0,77,1,0,2,1,77
01/02/2018,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),New York,Patchogue,2,0,79,1,1,2,1,79
01/04/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Colebrook,1,1,0,1,1,1,1,0
01/05/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Dover,4,0,692,1,0,11,1,692
01/06/2018,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),New Hampshire,Salem,2,0,56,1,1,2,1,56
01/06/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Avon,6,0,1917,1,1,11,1,1915
01/07/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Ontario,Quinte West,2,0,35,1,1,3,1,35
01/13/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Portland,4,0,234,1,0,4,1,234
01/13/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Burlington,3,0,94,1,1,5,1,94
01/15/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Middleborough,3,0,573,1,1,4,1,574
01/16/2018,/office-of-admissions/new-england-regional-tuition-program,YAHOO,ORGANIC,(NOT SET),(not set),Connecticut,Greenwich,1,1,0,1,1,1,1,0
01/17/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,2,0,40,1,1,3,1,40
01/17/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,Warwick,1,1,0,1,1,1,1,0
01/18/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Attleboro,1,1,0,1,1,1,1,0
01/19/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,1,1,1,0
01/19/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New York,New York,4,1,126,2,1,6,2,126
01/20/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Norwich,2,0,410,1,1,4,1,410
01/24/2018,/office-of-admissions/new-england-regional-tuition-program,KIDREX.ORG,REFERRAL,(NOT SET),(not set),Georgia,Rome,1,1,0,1,1,1,1,0
01/25/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New York,New York,10,0,131,1,0,12,1,132
01/27/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,South Windsor,1,1,0,1,1,1,1,0
01/29/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,3,0,806,1,0,3,1,807
01/30/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Ipswich,1,1,0,1,1,1,1,0
01/31/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Stamford,2,0,112,1,1,3,1,112
01/31/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Farmington,1,1,0,1,1,1,1,0
02/01/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Plainfield,6,0,389,1,1,11,1,390
02/01/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Lynn,5,0,134,1,0,5,1,134
02/02/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,Lincoln,2,0,4,1,1,2,1,4
02/03/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,West Newbury,1,1,0,1,1,1,1,0
02/07/2018,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),New Hampshire,Concord,2,0,93,1,0,5,1,93
02/08/2018,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),New Hampshire,Concord,3,1,97,2,0,5,2,97
02/10/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Wilton,1,1,0,1,1,1,1,0
02/11/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Dover,1,1,0,1,1,1,1,0
02/14/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Laconia,9,0,1265,1,0,11,1,1265
02/14/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Pelham,2,2,0,2,0,2,2,0
02/15/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Merrimack,2,0,163,1,1,3,1,163
02/18/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Tyngsborough,5,0,1155,1,1,20,1,1154
02/20/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Brockton,6,0,1580,1,0,7,1,1581
02/22/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Enfield,1,1,0,1,0,1,1,0
02/24/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Amesbury,8,0,1245,1,0,10,1,1245
02/26/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Cambridge,8,0,656,1,0,11,1,655
02/26/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New York,Schenectady,8,0,1056,1,0,8,1,1056
